,Ticker_1,Ticker_2,DTW_Distance
300,728,2628,21247.589999999997
301,688,728,21302.550000000003
302,1099,2333,21320.56
303,27,2319,21423.21
304,1299,2388,21424.729999999996
305,525,2319,21486.95
306,914,916,21526.26
307,902,914,21611.69
308,914,1211,22051.63
309,762,2601,22141.03
310,2319,2380,22157.100000000002
311,883,2601,22197.410000000003
312,868,914,22316.84
313,316,1038,22361.15
314,316,688,22617.65
315,316,2628,22672.61
316,914,2007,22736.44
317,1038,2318,22811.75
318,669,2333,22876.84
319,992,2388,23120.300000000003
320,669,1093,23206.089999999997
321,1928,2333,23261.27
322,168,6030,23409.03
323,857,2388,23584.7
324,1093,1099,23796.17
325,27,1109,23813.230000000003
326,123,2628,24010.379999999997
327,123,688,24065.340000000004
328,386,2388,24269.870000000003
329,20,3968,24376.86
330,669,3900,24437.440000000002
331,941,1038,24478.399999999998
332,168,1088,24494.479999999996
333,525,914,24687.620000000003
334,1109,2313,24873.89
335,27,291,24917.68
336,1099,3900,25027.520000000004
337,914,2380,25357.77
338,669,916,25601.269999999997
339,669,902,25686.699999999997
340,1211,2319,25761.1
341,992,2601,25786.18
342,168,836,25797.43
343,291,2313,25967.940000000002
344,960,1928,26177.84
345,916,1099,26191.35
346,857,2601,26250.58
347,902,1099,26276.78
348,2020,2382,26383.989999999998
349,669,868,26391.85
350,728,2388,26449.620000000003
351,168,1038,26523.25
352,688,1299,26571.800000000003
353,1299,2628,26626.760000000002
354,5,20,26628.2
355,669,2007,26811.45
356,386,2601,26935.75
357,868,1099,26981.93
358,2313,2319,27392.95
359,1099,2007,27401.53
360,2020,2688,27531.1
361,316,6030,28165.93
362,27,2333,28210.33
363,168,2328,28583.31
364,2688,3888,28676.77
365,1109,1211,28740.339999999997
366,525,669,28762.629999999997
367,6,20,29113.399999999998
368,728,2601,29115.5
369,123,2388,29212.41
370,316,1088,29251.38
371,525,1099,29352.71
372,669,2380,29432.78
373,2318,2601,29475.0
374,291,1211,29820.390000000003
375,1099,2380,30022.86
376,1093,1928,30167.36
377,316,836,30554.33
378,1928,3900,31398.71
379,123,2601,31878.29
380,941,2318,31924.15
381,1299,6030,32120.08
382,2318,2388,32140.879999999997
383,168,762,32188.83
384,168,883,32245.210000000003
385,27,960,32257.879999999997
386,916,1928,32562.539999999997
387,902,1928,32647.969999999994
388,1211,2333,32992.22
389,2382,3888,33012.44
390,1088,1299,33205.53
391,960,2313,33318.54
392,316,2328,33340.21000000001
393,868,1928,33353.119999999995
394,1928,2007,33772.72
395,2313,2333,34009.47
396,1038,2601,34414.450000000004
397,836,1299,34508.479999999996
398,2382,2688,34689.97
399,525,1928,35723.9
400,168,992,35833.98
401,27,1093,36247.399999999994
402,168,857,36298.380000000005
403,1928,2380,36394.05
404,881,2382,36661.55
405,316,762,36945.729999999996
406,168,386,36983.55
407,316,883,37002.11
408,175,2382,37020.299999999996
409,1038,2388,37080.33
410,960,1211,37184.99
411,688,2318,37287.95
412,1299,2328,37294.36
413,1093,2313,37308.06
414,2318,2628,37342.91
415,27,3900,37478.75
416,1177,2382,38038.18000000001
417,2313,3900,38539.41
418,27,916,38642.58
419,27,902,38728.009999999995
420,168,728,39163.3
421,27,868,39433.159999999996
422,20,939,39661.88
423,916,2313,39703.24
424,1171,2382,39747.42
425,902,2313,39788.67
426,27,2007,39852.759999999995
427,941,1299,40135.8
428,881,2688,40230.02
429,868,2313,40493.82
430,20,1398,40585.35
431,316,992,40590.880000000005
432,20,998,40686.67
433,762,1299,40899.880000000005
434,2007,2313,40913.42
435,883,1299,40956.26
436,175,2688,40964.67
437,241,2382,41004.9
438,316,857,41055.28
439,2331,2382,41136.15
440,1093,1211,41174.509999999995
441,316,386,41740.45
442,27,525,41803.94
443,123,168,41926.09
444,1177,2688,41958.69
445,20,3988,42129.28
446,688,1038,42227.40000000001
447,981,2382,42279.18
448,1038,2628,42282.36
449,1211,3900,42405.86
450,1919,2382,42407.59
451,20,1288,42431.53
452,1,6,42437.17
453,27,2380,42474.090000000004
454,2318,6030,42836.229999999996
455,525,2313,42864.6
456,6,16,43249.450000000004
457,2313,2380,43534.75
458,916,1211,43569.69
459,902,1211,43655.12000000001
460,1171,2688,43691.79
461,2382,2899,43736.67999999999
462,316,728,43920.2
463,1088,2318,43921.68
464,316,941,44138.95
465,868,1211,44360.270000000004
466,992,1299,44545.03
467,2382,3800,44729.35
468,1211,2007,44779.87
469,1,5,44879.67
470,241,2688,44948.71
471,857,1299,45009.43
472,2331,2688,45080.520000000004
473,836,2318,45224.63
474,5,16,45691.95
475,386,1299,45694.600000000006
476,981,2688,46223.55
477,1919,2688,46351.96
478,123,316,46682.990000000005
479,525,1211,46731.05
480,1211,2380,47401.200000000004
481,2688,2899,47681.049999999996
482,1038,6030,47775.68
483,728,1299,47874.350000000006
484,2318,2328,48010.51
485,2688,3800,48673.72
486,168,941,48845.05
487,1038,1088,48861.13
488,836,1038,50164.08
489,123,1299,50637.14
490,5,3968,51002.76
491,762,2318,51616.03
492,883,2318,51672.41
493,1038,2328,52949.96
494,6,3968,53445.26
495,992,2318,55261.17999999999
496,857,2318,55725.58
497,386,2318,56410.75000000001
498,762,1038,56555.479999999996
499,883,1038,56611.86
500,728,2318,58590.5
501,941,2601,58892.85
502,992,1038,60200.63
503,857,1038,60665.03
504,386,1038,61350.2
505,123,2318,61353.29000000001
506,941,2388,61558.729999999996
507,728,1038,63529.950000000004
508,5,939,66287.78
509,123,1038,66292.73999999999
510,688,941,66705.8
511,941,2628,66760.76000000001
512,5,1398,67211.25
513,5,998,67312.56999999999
514,6,939,68730.28
515,5,3988,68755.18
516,5,1288,69057.43
517,6,1398,69653.75
518,6,998,69755.06999999999
519,6,3988,71197.68
520,6,1288,71499.93
521,1,20,71505.56999999999
522,941,6030,72254.07999999999
523,16,20,72317.85
524,941,1088,73339.53
525,836,941,74642.48
526,941,2328,77428.35999999999
527,762,941,81033.88
528,883,941,81090.26000000001
529,941,992,84679.03
530,857,941,85143.43000000001
531,386,941,85828.6
532,728,941,88008.35
533,123,941,90771.14000000001
534,16,388,92701.45
535,1,388,93890.53
536,1,3968,95882.43
537,16,3968,96694.70999999999
538,1,939,111167.44999999998
539,16,939,111979.73000000001
540,1,1398,112090.92
541,1,998,112192.24000000002
542,16,1398,112903.19999999998
543,16,998,113004.51999999999
544,1,3988,113634.85
545,1,1288,113937.1
546,16,3988,114447.13
547,16,1288,114749.37999999999
548,700,941,124948.83001600002
549,6,388,135950.90000000002
550,5,388,138393.4
551,700,1038,149427.230016
552,700,2318,154366.680016
553,20,388,165019.3
554,700,1299,165082.83001600002
555,316,700,169036.980016
556,168,700,173793.880016
557,700,2601,183841.680016
558,700,2388,186507.560016
559,388,3968,189396.15999999997
560,688,700,191654.63001599998
561,700,2628,191709.590016
562,700,6030,197202.910016
563,700,1088,198288.360016
564,700,836,199591.310016
565,700,2328,202377.19001599998
566,388,939,204681.18
567,388,1398,205604.65000000002
568,388,998,205705.97000000003
569,700,762,205982.710016
570,700,883,206039.09001599997
571,388,3988,207148.58000000002
572,388,1288,207450.83000000002
573,700,992,209627.860016
574,700,857,210092.26001600001
575,386,700,210777.43001599997
576,700,728,212957.180016
577,123,700,215719.97001600004
